Dt,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,BZ_F_Open,BZ_F_High,BZ_F_Low,BZ_F_Close,BZ_F_Volume,SI_F_Open,SI_F_High,SI_F_Low,SI_F_Close,SI_F_Volume,PA_F_Open,PA_F_High,PA_F_Low,PA_F_Close,PA_F_Volume,MP_Open,MP_High,MP_Low,MP_Close,MP_Volume,PL_F_Open,PL_F_High,PL_F_Low,PL_F_Close,PL_F_Volume,GC_F_Open,GC_F_High,GC_F_Low,GC_F_Close,GC_F_Volume,CVX_Open,CVX_High,CVX_Low,CVX_Close,CVX_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,HG_F_Open,HG_F_High,HG_F_Low,HG_F_Close,HG_F_Volume,B_Open,B_High,B_Low,B_Close,B_Volume,CL_F_Open,CL_F_High,CL_F_Low,CL_F_Close,CL_F_Volume,XEL_Open,XEL_High,XEL_Low,XEL_Close,XEL_Volume,datekey,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Volume
6/9/2026,29647.3496,29805.3008,28196.9004,29084.5,12106940000,94.34,94.52,89.59,91.45,36849,68.225,68.815,65,65.094,22,1213.6,1213.6,1213.6,1213.6,21,57.93,58.617,52.42,54.3,9542600,1708.6,1708.6,1708.6,1708.6,0,4332.7998,4344.5,4240.2002,4260,357,188.5,189.38,185.47,186.76,8462000,50814.4219,51260.9219,50211.1211,50872.1094,566610000,6.292,6.406,6.292,6.3025,608,39.95,40.39,37.76,39.15,15631000,91.28,91.55,85.95,88.2,278650,77.85,78.53,77.3,77.87,5725800,20260609,7438.6602,7483.1499,7237.8501,7386.6499,6006390000
6/8/2026,29482.1895,29697.9004,29294.0195,29414.2598,10077650000,95.5,98.05,93.67,94.25,36849,67.45,68.81,66.87,68.425,22,1202.5,1210,1200.9,1200.9,21,59.83,59.83,57.33,57.58,5114900,1749.4,1749.4,1749.4,1749.4,0,4324.2002,4340.8999,4284.6001,4335.8999,357,188.7,191.03,188.5,189.24,6113000,50997.2305,51277.1484,50732.3516,50786.0117,477180000,6.364,6.364,6.3295,6.3295,608,39.62,39.94,39.41,39.46,11252800,93,95.47,90.39,91.3,278650,79.3,79.88,77.42,77.62,8561500,20260608,7440.5698,7466.8101,7395.1299,7405.73,4898180000
6/5/2026,NULL,NULL,NULL,NULL,NULL,95.07,95.9,92.68,92.87,36405,74.18,74.38,67.7,68,77016,1330.5,1340,1236.5,1240.5,5800,64.1,64,58.65,59.18,7937844,1898.1,1907.1,1770.5,1777.4,23331,4503,4508.7,4336.6,4353.9,173440,189.06,189.61,186.59,187.31,6306448,NULL,NULL,NULL,NULL,NULL,6.54,6.54,6.25,6.28,60833,41.64,41.65,39.33,39.46,15195104,92.82,93.63,89.68,90.25,215733,78.34,79.56,78.17,79.04,5306379,20260605,7537.3599,7541.8101,7368.6299,7383.7402,5591290000
6/4/2026,30407.81,30407.81,30407.81,30407.81,0,97.43,97.57,93.92,95.03,40867,73.09,74.2,73.09,73.78,13,1318.8,1318.8,1318.8,1318.8,133,66.62,67.25,64.98,65.46,4029500,1894,1894,1894,1894,100,4447.4,4509.9,4447.4,4475.8,2913,189,190.1,187.67,188.35,5163200,NULL,NULL,NULL,NULL,NULL,6.51,6.53,6.5,6.51,1180,42.25,43.46,42.24,42.79,13979900,95.75,95.91,91.91,93.04,260613,78,78.8,76.62,77.77,4221600,20260604,7516.54,7598.1899,7516.54,7584.3101,5398910000
6/3/2026,30571.24,30571.24,30571.24,30571.24,0,96.07,99,96.04,97.81,40867,73.48,73.48,73.21,73.48,13,1372,1372,1314,1317.1,133,70.38,71.93,67.41,68.55,5694800,1868.7,1868.7,1868.7,1868.7,100,4471.2,4471.7,4427.2,4436.7,2913,188.89,191.48,187.96,189.71,7983700,NULL,NULL,NULL,NULL,NULL,6.55,6.55,6.48,6.48,1180,42.53,42.68,41.68,41.86,11030900,93.45,97,93.45,96.02,260613,78,79.14,76.95,77.39,7393400,20260603,7605.3101,7605.3501,7551.2202,7553.6802,5753860000
6/2/2026,30660.6,30660.6,30660.6,30660.6,0,95.4,96.26,92.82,96,40210,75.65,76.03,75.31,75.31,58,1386.5,1386.5,1368.5,1373.1,14,70,73.52,69.51,72.24,6669200,1937.4,1937.4,1937.4,1937.4,0,4488,4529.5,4474.2,4489.1,456,184.88,188.45,184.88,187.55,6549800,NULL,NULL,NULL,NULL,NULL,6.65,6.65,6.63,6.65,651,42.53,43.2,42.05,43.2,14000300,92.45,94,90.12,93.76,238146,76.35,78.08,76.16,77.87,6010400,20260602,7595.3999,7620.8999,7582.9902,7609.7798,5904410000
6/1/2026,30513.86,30513.86,30513.86,30513.86,0,92.41,97.8,92.37,94.98,57796,74.38,75.64,74.38,75.01,82,1353.5,1368.5,1339,1360.5,26,64.18,71.37,63.01,69.29,8827600,1922.4,1922.4,1922.4,1922.4,0,4523.5,4541.4,4449.7,4475.2,835,184.38,187.94,184.02,185.83,8850500,NULL,NULL,NULL,NULL,NULL,6.54,6.55,6.49,6.52,1053,41.5,42.55,40.64,42.32,12588300,88.5,94.78,88.45,92.16,322039,78.45,78.82,76.16,76.41,5024800,20260601,7582.29,7617.6602,7562.6099,7599.96,6583960000
5/29/2026,30333.18,30333.18,30333.18,30333.18,0,93.37,94.01,91.46,92.05,39308,75.52,75.62,75.11,75.62,23,1380,1380,1341.5,1361,43,66,66.5,63.6,64.7,5063600,1922.2,1922.2,1922.2,1922.2,9,4494,4591.8,4487.9,4560.5,1883,182.72,182.97,180.4,182.46,13886500,NULL,NULL,NULL,NULL,NULL,6.39,6.39,6.34,6.36,1317,41.63,43.01,41.41,42.55,18664900,88.55,89.02,86.35,87.36,267803,79.17,80.6,78.43,79.5,14308500,20260529,7579.3301,7599.3799,7563.5498,7580.0601,7858290000
5/28/2026,30223.89,30223.89,30223.89,30223.89,0,94.97,98.16,92.56,93.71,9881,73.65,76,71.97,75.64,280,1391,1402,1337.5,1377.6,378,64.66,68.45,64.03,66.83,5275500,1899.4,1948.7,1885.2,1921.6,81,4453.6,4512.6,4363.5,4499.3,16427,183.71,185.26,182.09,183.03,8725400,NULL,NULL,NULL,NULL,NULL,6.3,6.4,6.22,6.4,2596,40.77,42.09,40.16,41.51,13108300,89.11,92.52,87.11,88.9,235145,80.77,80.9,79.16,79.26,4736500,20260528,7519.8198,7568.7202,7508.04,7563.6299,5494860000
5/27/2026,29973.57,29973.57,29973.57,29973.57,0,99.4,99.86,94.15,94.29,20553,74.57,74.75,74.32,74.6,863,1395.6,1395.6,1395.6,1395.6,2734,67.21,67.3,64.08,65.21,5072200,1914.2,1918.7,1911.1,1918.7,39,4439.7,4447.5,4439.7,4447.5,81062,181.85,183.72,180.67,182.4,9442800,NULL,NULL,NULL,NULL,NULL,6.42,6.42,6.3,6.3,2474,41.11,41.8,41.02,41.08,8692900,93.39,93.69,87.77,88.68,290948,80.5,81.35,80.15,81,4712000,20260527,7526.0098,7530.7202,7499.7202,7520.3599,5524250000
